"filename", "language", "YAML", "TypeScript", "Docker", "TypeScript JSX", "Markdown", "JSON", "MS SQL", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\search-results-enhanced.tsx", "TypeScript JSX", 0, 0, 0, 321, 0, 0, 0, 0, 0, 11, 26, 358
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\ai-search\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\courses-filter-section.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, -1, 1, 18
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\courses-hero.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\courses-view.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\enroll-modal-content.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\courses\priority-enrollment-window.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\home\hero-section.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\Filters.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, -3, -1, 17
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\OpportunitiesHero.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 7, 84
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\OpportunitiesSearchInput.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, -4, 1, 31
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\OpportunityCard.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 12, 66
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\OpportunityModal.tsx", "TypeScript JSX", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 18, 194
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\OpprtunitySection.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 2, 49
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunities\SimpleDropdown.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, -1, 2, 28
"c:\Users\dell\Documents\ScholarX\V2\web\src\components\opportunity\opportunity-detail.tsx", "TypeScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 11, 129
"c:\Users\dell\Documents\ScholarX\V2\web\src\db\index.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\dell\Documents\ScholarX\V2\web\src\db\schema\courses-db.schema.ts", "TypeScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 8, 206
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\certificate.service.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 17, 132
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.policy.test.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 8, 81
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.policy.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.specifications.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
