"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "Skill", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\V2\web\src\db\schema\courses-db.schema.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 3, 96
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\contracts\admin-types.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\contracts\admin-validation.schemas.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\admin\infrastructure\db\admin.repository.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-application.schemas.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 0, 0, 16, 139
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.policy.test.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\course-completion.specifications.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.test.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-catalog.service.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\next-course-enrollment.service.ts", "TypeScript", 0, 208, 0, 0, 0, 0, 0, 0, 28, 236
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\application\public-lesson-status.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-course-progress.repository.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dell\Documents\ScholarX\V2\web\src\domain\courses\infrastructure\db\next-courses.repository.ts", "TypeScript", 0, 131, 0, 0, 0, 0, 0, 0, 9, 140
"c:\Users\dell\Documents\ScholarX\V2\web\src\instrumentation-client.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 5, -1, -4
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\api\courses.service.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 9, 129
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\create-enrollment-execution-context.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\enrollment-executor.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\intent-controller.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\course-application.strategy.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\strategies\enrollment-strategies.test.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\enrollment\types.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\lib\routes.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\Documents\ScholarX\V2\web\src\types\course.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Documents\ScholarX\V2\web\src\types\course.types.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 2790, 1317, 27, 56, 1567, 2191, 14, 6, 1769, 9737
